week_id,academic_year_start,academic_year,week_index,week_monday
64,2020,2020–2021,25,2021-02-22
65,2020,2020–2021,26,2021-03-01
66,2020,2020–2021,27,2021-03-08
67,2020,2020–2021,28,2021-03-15
68,2020,2020–2021,29,2021-03-22
69,2020,2020–2021,30,2021-03-29
70,2020,2020–2021,31,2021-04-05
71,2020,2020–2021,32,2021-04-12
72,2020,2020–2021,33,2021-04-19
73,2020,2020–2021,34,2021-04-26
74,2020,2020–2021,35,2021-05-03
75,2020,2020–2021,36,2021-05-10
76,2020,2020–2021,37,2021-05-17
77,2020,2020–2021,38,2021-05-24
78,2020,2020–2021,39,2021-05-31
79,2021,2021–2022,1,2021-09-06
80,2021,2021–2022,2,2021-09-13
81,2021,2021–2022,3,2021-09-20
82,2021,2021–2022,4,2021-09-27
83,2021,2021–2022,5,2021-10-04
84,2021,2021–2022,6,2021-10-11
85,2021,2021–2022,7,2021-10-18
86,2021,2021–2022,8,2021-10-25
87,2021,2021–2022,9,2021-11-01
88,2021,2021–2022,10,2021-11-08
89,2021,2021–2022,11,2021-11-15
90,2021,2021–2022,12,2021-11-22
91,2021,2021–2022,13,2021-11-29
92,2021,2021–2022,14,2021-12-06
93,2021,2021–2022,15,2021-12-13
94,2021,2021–2022,16,2021-12-20
95,2021,2021–2022,17,2021-12-27
96,2021,2021–2022,18,2022-01-03
97,2021,2021–2022,19,2022-01-10
98,2021,2021–2022,20,2022-01-17
99,2021,2021–2022,21,2022-01-24
100,2021,2021–2022,22,2022-01-31
101,2021,2021–2022,23,2022-02-07
102,2021,2021–2022,24,2022-02-14
103,2021,2021–2022,25,2022-02-21
104,2021,2021–2022,26,2022-02-28
105,2021,2021–2022,27,2022-03-07
106,2021,2021–2022,28,2022-03-14
107,2021,2021–2022,29,2022-03-21
108,2021,2021–2022,30,2022-03-28
109,2021,2021–2022,31,2022-04-04
110,2021,2021–2022,32,2022-04-11
111,2021,2021–2022,33,2022-04-18
112,2021,2021–2022,34,2022-04-25
113,2021,2021–2022,35,2022-05-02
114,2021,2021–2022,36,2022-05-09
115,2021,2021–2022,37,2022-05-16
116,2021,2021–2022,38,2022-05-23
117,2021,2021–2022,39,2022-05-30
118,2022,2022–2023,1,2022-09-05
119,2022,2022–2023,2,2022-09-12
120,2022,2022–2023,3,2022-09-19
121,2022,2022–2023,4,2022-09-26
122,2022,2022–2023,5,2022-10-03
123,2022,2022–2023,6,2022-10-10
124,2022,2022–2023,7,2022-10-17
125,2022,2022–2023,8,2022-10-24
126,2022,2022–2023,9,2022-10-31
127,2022,2022–2023,10,2022-11-07
128,2022,2022–2023,11,2022-11-14
129,2022,2022–2023,12,2022-11-21
130,2022,2022–2023,13,2022-11-28
131,2022,2022–2023,14,2022-12-05
132,2022,2022–2023,15,2022-12-12
133,2022,2022–2023,16,2022-12-19
134,2022,2022–2023,17,2022-12-26
135,2022,2022–2023,18,2023-01-02
136,2022,2022–2023,19,2023-01-09
137,2022,2022–2023,20,2023-01-16
138,2022,2022–2023,21,2023-01-23
139,2022,2022–2023,22,2023-01-30
140,2022,2022–2023,23,2023-02-06
141,2022,2022–2023,24,2023-02-13
142,2022,2022–2023,25,2023-02-20
143,2022,2022–2023,26,2023-02-27
144,2022,2022–2023,27,2023-03-06
145,2022,2022–2023,28,2023-03-13
146,2022,2022–2023,29,2023-03-20
147,2022,2022–2023,30,2023-03-27
148,2022,2022–2023,31,2023-04-03
149,2022,2022–2023,32,2023-04-10
150,2022,2022–2023,33,2023-04-17
151,2022,2022–2023,34,2023-04-24
152,2022,2022–2023,35,2023-05-01
153,2022,2022–2023,36,2023-05-08
154,2022,2022–2023,37,2023-05-15
155,2022,2022–2023,38,2023-05-22
156,2022,2022–2023,39,2023-05-29
157,2023,2023–2024,1,2023-09-04
158,2023,2023–2024,2,2023-09-11
159,2023,2023–2024,3,2023-09-18
160,2023,2023–2024,4,2023-09-25
161,2023,2023–2024,5,2023-10-02
162,2023,2023–2024,6,2023-10-09
163,2023,2023–2024,7,2023-10-16
164,2023,2023–2024,8,2023-10-23
165,2023,2023–2024,9,2023-10-30
166,2023,2023–2024,10,2023-11-06
167,2023,2023–2024,11,2023-11-13
168,2023,2023–2024,12,2023-11-20
169,2023,2023–2024,13,2023-11-27
170,2023,2023–2024,14,2023-12-04
171,2023,2023–2024,15,2023-12-11
172,2023,2023–2024,16,2023-12-18
173,2023,2023–2024,17,2023-12-25
174,2023,2023–2024,18,2024-01-01
175,2023,2023–2024,19,2024-01-08
176,2023,2023–2024,20,2024-01-15
177,2023,2023–2024,21,2024-01-22
178,2023,2023–2024,22,2024-01-29
179,2023,2023–2024,23,2024-02-05
180,2023,2023–2024,24,2024-02-12
181,2023,2023–2024,25,2024-02-19
182,2023,2023–2024,26,2024-02-26
183,2023,2023–2024,27,2024-03-04
184,2023,2023–2024,28,2024-03-11
185,2023,2023–2024,29,2024-03-18
186,2023,2023–2024,30,2024-03-25
187,2023,2023–2024,31,2024-04-01
188,2023,2023–2024,32,2024-04-08
189,2023,2023–2024,33,2024-04-15
190,2023,2023–2024,34,2024-04-22
191,2023,2023–2024,35,2024-04-29
192,2023,2023–2024,36,2024-05-06
193,2023,2023–2024,37,2024-05-13
194,2023,2023–2024,38,2024-05-20
195,2023,2023–2024,39,2024-05-27
196,2024,2024–2025,1,2024-09-02
197,2024,2024–2025,2,2024-09-09
198,2024,2024–2025,3,2024-09-16
199,2024,2024–2025,4,2024-09-23
200,2024,2024–2025,5,2024-09-30
201,2024,2024–2025,6,2024-10-07
202,2024,2024–2025,7,2024-10-14
203,2024,2024–2025,8,2024-10-21
204,2024,2024–2025,9,2024-10-28
205,2024,2024–2025,10,2024-11-04
206,2024,2024–2025,11,2024-11-11
207,2024,2024–2025,12,2024-11-18
208,2024,2024–2025,13,2024-11-25
209,2024,2024–2025,14,2024-12-02
210,2024,2024–2025,15,2024-12-09
211,2024,2024–2025,16,2024-12-16
212,2024,2024–2025,17,2024-12-23
213,2024,2024–2025,18,2024-12-30
214,2024,2024–2025,19,2025-01-06
215,2024,2024–2025,20,2025-01-13
216,2024,2024–2025,21,2025-01-20
217,2024,2024–2025,22,2025-01-27
218,2024,2024–2025,23,2025-02-03
219,2024,2024–2025,24,2025-02-10
220,2024,2024–2025,25,2025-02-17
221,2024,2024–2025,26,2025-02-24
222,2024,2024–2025,27,2025-03-03
223,2024,2024–2025,28,2025-03-10
224,2024,2024–2025,29,2025-03-17
225,2024,2024–2025,30,2025-03-24
226,2024,2024–2025,31,2025-03-31
227,2024,2024–2025,32,2025-04-07
228,2024,2024–2025,33,2025-04-14
229,2024,2024–2025,34,2025-04-21
230,2024,2024–2025,35,2025-04-28
231,2024,2024–2025,36,2025-05-05
232,2024,2024–2025,37,2025-05-12
233,2024,2024–2025,38,2025-05-19
234,2024,2024–2025,39,2025-05-26
