academic_year,year_start,term,date,day_of_week
2019–2020,2019,Summer,2019-04-26,Friday
2019–2020,2019,Summer,2019-04-29,Monday
2019–2020,2019,Summer,2019-04-30,Tuesday
2019–2020,2019,Summer,2019-05-01,Wednesday
2019–2020,2019,Summer,2019-05-02,Thursday
2019–2020,2019,Summer,2019-05-03,Friday
2019–2020,2019,Summer,2019-05-06,Monday
2019–2020,2019,Summer,2019-05-07,Tuesday
2019–2020,2019,Summer,2019-05-08,Wednesday
2019–2020,2019,Summer,2019-05-09,Thursday
2019–2020,2019,Summer,2019-05-10,Friday
2019–2020,2019,Summer,2019-05-13,Monday
2019–2020,2019,Summer,2019-05-14,Tuesday
2019–2020,2019,Summer,2019-05-15,Wednesday
2019–2020,2019,Summer,2019-05-16,Thursday
2019–2020,2019,Summer,2019-05-17,Friday
2019–2020,2019,Summer,2019-05-20,Monday
2019–2020,2019,Summer,2019-05-21,Tuesday
2019–2020,2019,Summer,2019-05-22,Wednesday
2019–2020,2019,Summer,2019-05-23,Thursday
2019–2020,2019,Summer,2019-05-24,Friday
2019–2020,2019,Summer,2019-05-27,Monday
2019–2020,2019,Summer,2019-05-28,Tuesday
2019–2020,2019,Summer,2019-05-29,Wednesday
2019–2020,2019,Summer,2019-05-30,Thursday
2019–2020,2019,Summer,2019-05-31,Friday
2019–2020,2019,Summer,2019-06-03,Monday
2019–2020,2019,Summer,2019-06-04,Tuesday
2019–2020,2019,Summer,2019-06-05,Wednesday
2019–2020,2019,Summer,2019-06-06,Thursday
2019–2020,2019,Summer,2019-06-07,Friday
2019–2020,2019,Summer,2019-06-10,Monday
2019–2020,2019,Summer,2019-06-11,Tuesday
2019–2020,2019,Summer,2019-06-12,Wednesday
2019–2020,2019,Summer,2019-06-13,Thursday
2019–2020,2019,Summer,2019-06-14,Friday
2019–2020,2019,Summer,2019-06-17,Monday
2019–2020,2019,Summer,2019-06-18,Tuesday
2019–2020,2019,Summer,2019-06-19,Wednesday
2019–2020,2019,Summer,2019-06-20,Thursday
2019–2020,2019,Summer,2019-06-21,Friday
2019–2020,2019,Summer,2019-06-24,Monday
2019–2020,2019,Summer,2019-06-25,Tuesday
2019–2020,2019,Summer,2019-06-26,Wednesday
2019–2020,2019,Summer,2019-06-27,Thursday
2019–2020,2019,Summer,2019-06-28,Friday
2019–2020,2019,Summer,2019-07-01,Monday
2019–2020,2019,Summer,2019-07-02,Tuesday
2019–2020,2019,Summer,2019-07-03,Wednesday
2019–2020,2019,Summer,2019-07-04,Thursday
2019–2020,2019,Summer,2019-07-05,Friday
2019–2020,2019,Summer,2019-07-08,Monday
2019–2020,2019,Summer,2019-07-09,Tuesday
2019–2020,2019,Summer,2019-07-10,Wednesday
2019–2020,2019,Summer,2019-07-11,Thursday
2019–2020,2019,Summer,2019-07-12,Friday
2019–2020,2019,Summer,2019-07-15,Monday
2019–2020,2019,Autumn,2019-09-02,Monday
2019–2020,2019,Autumn,2019-09-03,Tuesday
2019–2020,2019,Autumn,2019-09-04,Wednesday
2019–2020,2019,Autumn,2019-09-05,Thursday
2019–2020,2019,Autumn,2019-09-06,Friday
2019–2020,2019,Autumn,2019-09-09,Monday
2019–2020,2019,Autumn,2019-09-10,Tuesday
2019–2020,2019,Autumn,2019-09-11,Wednesday
2019–2020,2019,Autumn,2019-09-12,Thursday
2019–2020,2019,Autumn,2019-09-13,Friday
2019–2020,2019,Autumn,2019-09-16,Monday
2019–2020,2019,Autumn,2019-09-17,Tuesday
2019–2020,2019,Autumn,2019-09-18,Wednesday
2019–2020,2019,Autumn,2019-09-19,Thursday
2019–2020,2019,Autumn,2019-09-20,Friday
2019–2020,2019,Autumn,2019-09-23,Monday
2019–2020,2019,Autumn,2019-09-24,Tuesday
2019–2020,2019,Autumn,2019-09-25,Wednesday
2019–2020,2019,Autumn,2019-09-26,Thursday
2019–2020,2019,Autumn,2019-09-27,Friday
2019–2020,2019,Autumn,2019-09-30,Monday
2019–2020,2019,Autumn,2019-10-01,Tuesday
2019–2020,2019,Autumn,2019-10-02,Wednesday
2019–2020,2019,Autumn,2019-10-03,Thursday
2019–2020,2019,Autumn,2019-10-04,Friday
2019–2020,2019,Autumn,2019-10-07,Monday
2019–2020,2019,Autumn,2019-10-08,Tuesday
2019–2020,2019,Autumn,2019-10-09,Wednesday
2019–2020,2019,Autumn,2019-10-10,Thursday
2019–2020,2019,Autumn,2019-10-11,Friday
2019–2020,2019,Autumn,2019-10-14,Monday
2019–2020,2019,Autumn,2019-10-15,Tuesday
2019–2020,2019,Autumn,2019-10-16,Wednesday
2019–2020,2019,Autumn,2019-10-17,Thursday
2019–2020,2019,Autumn,2019-10-18,Friday
2019–2020,2019,Autumn,2019-10-21,Monday
2019–2020,2019,Autumn,2019-10-22,Tuesday
2019–2020,2019,Autumn,2019-10-23,Wednesday
2019–2020,2019,Autumn,2019-10-24,Thursday
2019–2020,2019,Autumn,2019-10-25,Friday
2019–2020,2019,Autumn,2019-10-28,Monday
2019–2020,2019,Autumn,2019-10-29,Tuesday
2019–2020,2019,Autumn,2019-10-30,Wednesday
2019–2020,2019,Autumn,2019-10-31,Thursday
2019–2020,2019,Autumn,2019-11-01,Friday
2019–2020,2019,Autumn,2019-11-04,Monday
2019–2020,2019,Autumn,2019-11-05,Tuesday
2019–2020,2019,Autumn,2019-11-06,Wednesday
2019–2020,2019,Autumn,2019-11-07,Thursday
2019–2020,2019,Autumn,2019-11-08,Friday
2019–2020,2019,Autumn,2019-11-11,Monday
2019–2020,2019,Autumn,2019-11-12,Tuesday
2019–2020,2019,Autumn,2019-11-13,Wednesday
2019–2020,2019,Autumn,2019-11-14,Thursday
2019–2020,2019,Autumn,2019-11-15,Friday
2019–2020,2019,Autumn,2019-11-18,Monday
2019–2020,2019,Autumn,2019-11-19,Tuesday
2019–2020,2019,Autumn,2019-11-20,Wednesday
2019–2020,2019,Autumn,2019-11-21,Thursday
2019–2020,2019,Autumn,2019-11-22,Friday
2019–2020,2019,Autumn,2019-11-25,Monday
2019–2020,2019,Autumn,2019-11-26,Tuesday
2019–2020,2019,Autumn,2019-11-27,Wednesday
2019–2020,2019,Autumn,2019-11-28,Thursday
2019–2020,2019,Autumn,2019-11-29,Friday
2019–2020,2019,Autumn,2019-12-02,Monday
2019–2020,2019,Autumn,2019-12-03,Tuesday
2019–2020,2019,Autumn,2019-12-04,Wednesday
2019–2020,2019,Autumn,2019-12-05,Thursday
2019–2020,2019,Autumn,2019-12-06,Friday
2019–2020,2019,Autumn,2019-12-09,Monday
2019–2020,2019,Autumn,2019-12-10,Tuesday
2019–2020,2019,Autumn,2019-12-11,Wednesday
2019–2020,2019,Autumn,2019-12-12,Thursday
2019–2020,2019,Autumn,2019-12-13,Friday
2020–2021,2020,Spring,2020-01-01,Wednesday
2020–2021,2020,Spring,2020-01-02,Thursday
2020–2021,2020,Spring,2020-01-03,Friday
2020–2021,2020,Spring,2020-01-06,Monday
2020–2021,2020,Spring,2020-01-07,Tuesday
2020–2021,2020,Spring,2020-01-08,Wednesday
2020–2021,2020,Spring,2020-01-09,Thursday
2020–2021,2020,Spring,2020-01-10,Friday
2020–2021,2020,Spring,2020-01-13,Monday
2020–2021,2020,Spring,2020-01-14,Tuesday
2020–2021,2020,Spring,2020-01-15,Wednesday
2020–2021,2020,Spring,2020-01-16,Thursday
2020–2021,2020,Spring,2020-01-17,Friday
2020–2021,2020,Spring,2020-01-20,Monday
2020–2021,2020,Spring,2020-01-21,Tuesday
2020–2021,2020,Spring,2020-01-22,Wednesday
2020–2021,2020,Spring,2020-01-23,Thursday
2020–2021,2020,Spring,2020-01-24,Friday
2020–2021,2020,Spring,2020-01-27,Monday
2020–2021,2020,Spring,2020-01-28,Tuesday
2020–2021,2020,Spring,2020-01-29,Wednesday
2020–2021,2020,Spring,2020-01-30,Thursday
2020–2021,2020,Spring,2020-01-31,Friday
2020–2021,2020,Spring,2020-02-03,Monday
2020–2021,2020,Spring,2020-02-04,Tuesday
2020–2021,2020,Spring,2020-02-05,Wednesday
2020–2021,2020,Spring,2020-02-06,Thursday
2020–2021,2020,Spring,2020-02-07,Friday
2020–2021,2020,Spring,2020-02-10,Monday
2020–2021,2020,Spring,2020-02-11,Tuesday
2020–2021,2020,Spring,2020-02-12,Wednesday
2020–2021,2020,Spring,2020-02-13,Thursday
2020–2021,2020,Spring,2020-02-14,Friday
2020–2021,2020,Spring,2020-02-17,Monday
2020–2021,2020,Spring,2020-02-18,Tuesday
2020–2021,2020,Spring,2020-02-19,Wednesday
2020–2021,2020,Spring,2020-02-20,Thursday
2020–2021,2020,Spring,2020-02-21,Friday
2020–2021,2020,Spring,2020-02-24,Monday
2020–2021,2020,Spring,2020-02-25,Tuesday
2020–2021,2020,Spring,2020-02-26,Wednesday
2020–2021,2020,Spring,2020-02-27,Thursday
2020–2021,2020,Spring,2020-02-28,Friday
2020–2021,2020,Spring,2020-03-02,Monday
2020–2021,2020,Spring,2020-03-03,Tuesday
2020–2021,2020,Spring,2020-03-04,Wednesday
2020–2021,2020,Spring,2020-03-05,Thursday
2020–2021,2020,Spring,2020-03-06,Friday
2020–2021,2020,Spring,2020-03-09,Monday
2020–2021,2020,Spring,2020-03-10,Tuesday
2020–2021,2020,Spring,2020-03-11,Wednesday
2020–2021,2020,Spring,2020-03-12,Thursday
2020–2021,2020,Spring,2020-03-13,Friday
2020–2021,2020,Spring,2020-03-16,Monday
2020–2021,2020,Spring,2020-03-17,Tuesday
2020–2021,2020,Spring,2020-03-18,Wednesday
2020–2021,2020,Spring,2020-03-19,Thursday
2020–2021,2020,Spring,2020-03-20,Friday
2020–2021,2020,Spring,2020-03-23,Monday
2020–2021,2020,Spring,2020-03-24,Tuesday
2020–2021,2020,Spring,2020-03-25,Wednesday
2020–2021,2020,Spring,2020-03-26,Thursday
2020–2021,2020,Spring,2020-03-27,Friday
2020–2021,2020,Spring,2020-03-30,Monday
2020–2021,2020,Spring,2020-03-31,Tuesday
2020–2021,2020,Summer,2020-04-01,Wednesday
2020–2021,2020,Summer,2020-04-02,Thursday
2020–2021,2020,Summer,2020-04-03,Friday
2020–2021,2020,Summer,2020-04-06,Monday
2020–2021,2020,Summer,2020-04-07,Tuesday
2020–2021,2020,Summer,2020-04-08,Wednesday
2020–2021,2020,Summer,2020-04-09,Thursday
2020–2021,2020,Summer,2020-04-10,Friday
2020–2021,2020,Summer,2020-04-13,Monday
2020–2021,2020,Summer,2020-04-14,Tuesday
2020–2021,2020,Summer,2020-04-15,Wednesday
2020–2021,2020,Summer,2020-04-16,Thursday
2020–2021,2020,Summer,2020-04-17,Friday
2020–2021,2020,Summer,2020-04-20,Monday
2020–2021,2020,Summer,2020-04-21,Tuesday
2020–2021,2020,Summer,2020-04-22,Wednesday
2020–2021,2020,Summer,2020-04-23,Thursday
2020–2021,2020,Summer,2020-04-24,Friday
2020–2021,2020,Summer,2020-04-27,Monday
2020–2021,2020,Summer,2020-04-28,Tuesday
2020–2021,2020,Summer,2020-04-29,Wednesday
2020–2021,2020,Summer,2020-04-30,Thursday
2020–2021,2020,Summer,2020-05-01,Friday
2020–2021,2020,Summer,2020-05-04,Monday
2020–2021,2020,Summer,2020-05-05,Tuesday
2020–2021,2020,Summer,2020-05-06,Wednesday
2020–2021,2020,Summer,2020-05-07,Thursday
2020–2021,2020,Summer,2020-05-08,Friday
2020–2021,2020,Summer,2020-05-11,Monday
2020–2021,2020,Summer,2020-05-12,Tuesday
2020–2021,2020,Summer,2020-05-13,Wednesday
2020–2021,2020,Summer,2020-05-14,Thursday
2020–2021,2020,Summer,2020-05-15,Friday
2020–2021,2020,Summer,2020-05-18,Monday
2020–2021,2020,Summer,2020-05-19,Tuesday
2020–2021,2020,Summer,2020-05-20,Wednesday
2020–2021,2020,Summer,2020-05-21,Thursday
2020–2021,2020,Summer,2020-05-22,Friday
2020–2021,2020,Summer,2020-05-25,Monday
2020–2021,2020,Summer,2020-05-26,Tuesday
2020–2021,2020,Summer,2020-05-27,Wednesday
2020–2021,2020,Summer,2020-05-28,Thursday
2020–2021,2020,Summer,2020-05-29,Friday
2020–2021,2020,Summer,2020-06-01,Monday
2020–2021,2020,Summer,2020-06-02,Tuesday
2020–2021,2020,Summer,2020-06-03,Wednesday
2020–2021,2020,Summer,2020-06-04,Thursday
2020–2021,2020,Summer,2020-06-05,Friday
2020–2021,2020,Summer,2020-06-08,Monday
2020–2021,2020,Summer,2020-06-09,Tuesday
2020–2021,2020,Summer,2020-06-10,Wednesday
2020–2021,2020,Summer,2020-06-11,Thursday
2020–2021,2020,Summer,2020-06-12,Friday
2020–2021,2020,Summer,2020-06-15,Monday
2020–2021,2020,Summer,2020-06-16,Tuesday
2020–2021,2020,Summer,2020-06-17,Wednesday
2020–2021,2020,Summer,2020-06-18,Thursday
2020–2021,2020,Summer,2020-06-19,Friday
2020–2021,2020,Summer,2020-06-22,Monday
2020–2021,2020,Summer,2020-06-23,Tuesday
2020–2021,2020,Summer,2020-06-24,Wednesday
2020–2021,2020,Summer,2020-06-25,Thursday
2020–2021,2020,Summer,2020-06-26,Friday
2020–2021,2020,Summer,2020-06-29,Monday
2020–2021,2020,Summer,2020-06-30,Tuesday
2020–2021,2020,Summer,2020-07-01,Wednesday
2020–2021,2020,Summer,2020-07-02,Thursday
2020–2021,2020,Summer,2020-07-03,Friday
2020–2021,2020,Summer,2020-07-06,Monday
2020–2021,2020,Summer,2020-07-07,Tuesday
2020–2021,2020,Summer,2020-07-08,Wednesday
2020–2021,2020,Summer,2020-07-09,Thursday
2020–2021,2020,Summer,2020-07-10,Friday
2020–2021,2020,Summer,2020-07-13,Monday
2020–2021,2020,Summer,2020-07-14,Tuesday
2020–2021,2020,Summer,2020-07-15,Wednesday
2020–2021,2020,Autumn,2020-09-01,Tuesday
2020–2021,2020,Autumn,2020-09-02,Wednesday
2020–2021,2020,Autumn,2020-09-03,Thursday
2020–2021,2020,Autumn,2020-09-04,Friday
2020–2021,2020,Autumn,2020-09-07,Monday
2020–2021,2020,Autumn,2020-09-08,Tuesday
2020–2021,2020,Autumn,2020-09-09,Wednesday
2020–2021,2020,Autumn,2020-09-10,Thursday
2020–2021,2020,Autumn,2020-09-11,Friday
2020–2021,2020,Autumn,2020-09-14,Monday
2020–2021,2020,Autumn,2020-09-15,Tuesday
2020–2021,2020,Autumn,2020-09-16,Wednesday
2020–2021,2020,Autumn,2020-09-17,Thursday
2020–2021,2020,Autumn,2020-09-18,Friday
2020–2021,2020,Autumn,2020-09-21,Monday
2020–2021,2020,Autumn,2020-09-22,Tuesday
2020–2021,2020,Autumn,2020-09-23,Wednesday
2020–2021,2020,Autumn,2020-09-24,Thursday
2020–2021,2020,Autumn,2020-09-25,Friday
2020–2021,2020,Autumn,2020-09-28,Monday
2020–2021,2020,Autumn,2020-09-29,Tuesday
2020–2021,2020,Autumn,2020-09-30,Wednesday
2020–2021,2020,Autumn,2020-10-01,Thursday
2020–2021,2020,Autumn,2020-10-02,Friday
2020–2021,2020,Autumn,2020-10-05,Monday
2020–2021,2020,Autumn,2020-10-06,Tuesday
2020–2021,2020,Autumn,2020-10-07,Wednesday
2020–2021,2020,Autumn,2020-10-08,Thursday
2020–2021,2020,Autumn,2020-10-09,Friday
2020–2021,2020,Autumn,2020-10-12,Monday
2020–2021,2020,Autumn,2020-10-13,Tuesday
2020–2021,2020,Autumn,2020-10-14,Wednesday
2020–2021,2020,Autumn,2020-10-15,Thursday
2020–2021,2020,Autumn,2020-10-16,Friday
2020–2021,2020,Autumn,2020-10-19,Monday
2020–2021,2020,Autumn,2020-10-20,Tuesday
2020–2021,2020,Autumn,2020-10-21,Wednesday
2020–2021,2020,Autumn,2020-10-22,Thursday
2020–2021,2020,Autumn,2020-10-23,Friday
2020–2021,2020,Autumn,2020-10-26,Monday
2020–2021,2020,Autumn,2020-10-27,Tuesday
2020–2021,2020,Autumn,2020-10-28,Wednesday
2020–2021,2020,Autumn,2020-10-29,Thursday
2020–2021,2020,Autumn,2020-10-30,Friday
2020–2021,2020,Autumn,2020-11-02,Monday
2020–2021,2020,Autumn,2020-11-03,Tuesday
2020–2021,2020,Autumn,2020-11-04,Wednesday
2020–2021,2020,Autumn,2020-11-05,Thursday
2020–2021,2020,Autumn,2020-11-06,Friday
2020–2021,2020,Autumn,2020-11-09,Monday
2020–2021,2020,Autumn,2020-11-10,Tuesday
2020–2021,2020,Autumn,2020-11-11,Wednesday
2020–2021,2020,Autumn,2020-11-12,Thursday
2020–2021,2020,Autumn,2020-11-13,Friday
2020–2021,2020,Autumn,2020-11-16,Monday
2020–2021,2020,Autumn,2020-11-17,Tuesday
2020–2021,2020,Autumn,2020-11-18,Wednesday
2020–2021,2020,Autumn,2020-11-19,Thursday
2020–2021,2020,Autumn,2020-11-20,Friday
2020–2021,2020,Autumn,2020-11-23,Monday
2020–2021,2020,Autumn,2020-11-24,Tuesday
2020–2021,2020,Autumn,2020-11-25,Wednesday
2020–2021,2020,Autumn,2020-11-26,Thursday
2020–2021,2020,Autumn,2020-11-27,Friday
2020–2021,2020,Autumn,2020-11-30,Monday
2020–2021,2020,Autumn,2020-12-01,Tuesday
2020–2021,2020,Autumn,2020-12-02,Wednesday
2020–2021,2020,Autumn,2020-12-03,Thursday
2020–2021,2020,Autumn,2020-12-04,Friday
2020–2021,2020,Autumn,2020-12-07,Monday
2020–2021,2020,Autumn,2020-12-08,Tuesday
2020–2021,2020,Autumn,2020-12-09,Wednesday
2020–2021,2020,Autumn,2020-12-10,Thursday
2020–2021,2020,Autumn,2020-12-11,Friday
2020–2021,2020,Autumn,2020-12-14,Monday
2020–2021,2020,Autumn,2020-12-15,Tuesday
2021–2022,2021,Spring,2021-01-01,Friday
2021–2022,2021,Spring,2021-01-04,Monday
2021–2022,2021,Spring,2021-01-05,Tuesday
2021–2022,2021,Spring,2021-01-06,Wednesday
2021–2022,2021,Spring,2021-01-07,Thursday
2021–2022,2021,Spring,2021-01-08,Friday
2021–2022,2021,Spring,2021-01-11,Monday
2021–2022,2021,Spring,2021-01-12,Tuesday
2021–2022,2021,Spring,2021-01-13,Wednesday
2021–2022,2021,Spring,2021-01-14,Thursday
2021–2022,2021,Spring,2021-01-15,Friday
2021–2022,2021,Spring,2021-01-18,Monday
2021–2022,2021,Spring,2021-01-19,Tuesday
2021–2022,2021,Spring,2021-01-20,Wednesday
2021–2022,2021,Spring,2021-01-21,Thursday
2021–2022,2021,Spring,2021-01-22,Friday
2021–2022,2021,Spring,2021-01-25,Monday
2021–2022,2021,Spring,2021-01-26,Tuesday
2021–2022,2021,Spring,2021-01-27,Wednesday
2021–2022,2021,Spring,2021-01-28,Thursday
2021–2022,2021,Spring,2021-01-29,Friday
2021–2022,2021,Spring,2021-02-01,Monday
2021–2022,2021,Spring,2021-02-02,Tuesday
2021–2022,2021,Spring,2021-02-03,Wednesday
2021–2022,2021,Spring,2021-02-04,Thursday
2021–2022,2021,Spring,2021-02-05,Friday
2021–2022,2021,Spring,2021-02-08,Monday
2021–2022,2021,Spring,2021-02-09,Tuesday
2021–2022,2021,Spring,2021-02-10,Wednesday
2021–2022,2021,Spring,2021-02-11,Thursday
2021–2022,2021,Spring,2021-02-12,Friday
2021–2022,2021,Spring,2021-02-15,Monday
2021–2022,2021,Spring,2021-02-16,Tuesday
2021–2022,2021,Spring,2021-02-17,Wednesday
2021–2022,2021,Spring,2021-02-18,Thursday
2021–2022,2021,Spring,2021-02-19,Friday
2021–2022,2021,Spring,2021-02-22,Monday
2021–2022,2021,Spring,2021-02-23,Tuesday
2021–2022,2021,Spring,2021-02-24,Wednesday
2021–2022,2021,Spring,2021-02-25,Thursday
2021–2022,2021,Spring,2021-02-26,Friday
2021–2022,2021,Spring,2021-03-01,Monday
2021–2022,2021,Spring,2021-03-02,Tuesday
2021–2022,2021,Spring,2021-03-03,Wednesday
2021–2022,2021,Spring,2021-03-04,Thursday
2021–2022,2021,Spring,2021-03-05,Friday
2021–2022,2021,Spring,2021-03-08,Monday
2021–2022,2021,Spring,2021-03-09,Tuesday
2021–2022,2021,Spring,2021-03-10,Wednesday
2021–2022,2021,Spring,2021-03-11,Thursday
2021–2022,2021,Spring,2021-03-12,Friday
2021–2022,2021,Spring,2021-03-15,Monday
2021–2022,2021,Spring,2021-03-16,Tuesday
2021–2022,2021,Spring,2021-03-17,Wednesday
2021–2022,2021,Spring,2021-03-18,Thursday
2021–2022,2021,Spring,2021-03-19,Friday
2021–2022,2021,Spring,2021-03-22,Monday
2021–2022,2021,Spring,2021-03-23,Tuesday
2021–2022,2021,Spring,2021-03-24,Wednesday
2021–2022,2021,Spring,2021-03-25,Thursday
2021–2022,2021,Spring,2021-03-26,Friday
2021–2022,2021,Spring,2021-03-29,Monday
2021–2022,2021,Spring,2021-03-30,Tuesday
2021–2022,2021,Spring,2021-03-31,Wednesday
2021–2022,2021,Summer,2021-04-01,Thursday
2021–2022,2021,Summer,2021-04-02,Friday
2021–2022,2021,Summer,2021-04-05,Monday
2021–2022,2021,Summer,2021-04-06,Tuesday
2021–2022,2021,Summer,2021-04-07,Wednesday
2021–2022,2021,Summer,2021-04-08,Thursday
2021–2022,2021,Summer,2021-04-09,Friday
2021–2022,2021,Summer,2021-04-12,Monday
2021–2022,2021,Summer,2021-04-13,Tuesday
2021–2022,2021,Summer,2021-04-14,Wednesday
2021–2022,2021,Summer,2021-04-15,Thursday
2021–2022,2021,Summer,2021-04-16,Friday
2021–2022,2021,Summer,2021-04-19,Monday
2021–2022,2021,Summer,2021-04-20,Tuesday
2021–2022,2021,Summer,2021-04-21,Wednesday
2021–2022,2021,Summer,2021-04-22,Thursday
2021–2022,2021,Summer,2021-04-23,Friday
2021–2022,2021,Summer,2021-04-26,Monday
2021–2022,2021,Summer,2021-04-27,Tuesday
2021–2022,2021,Summer,2021-04-28,Wednesday
2021–2022,2021,Summer,2021-04-29,Thursday
2021–2022,2021,Summer,2021-04-30,Friday
2021–2022,2021,Summer,2021-05-03,Monday
2021–2022,2021,Summer,2021-05-04,Tuesday
2021–2022,2021,Summer,2021-05-05,Wednesday
2021–2022,2021,Summer,2021-05-06,Thursday
2021–2022,2021,Summer,2021-05-07,Friday
2021–2022,2021,Summer,2021-05-10,Monday
2021–2022,2021,Summer,2021-05-11,Tuesday
2021–2022,2021,Summer,2021-05-12,Wednesday
2021–2022,2021,Summer,2021-05-13,Thursday
2021–2022,2021,Summer,2021-05-14,Friday
2021–2022,2021,Summer,2021-05-17,Monday
2021–2022,2021,Summer,2021-05-18,Tuesday
2021–2022,2021,Summer,2021-05-19,Wednesday
2021–2022,2021,Summer,2021-05-20,Thursday
2021–2022,2021,Summer,2021-05-21,Friday
2021–2022,2021,Summer,2021-05-24,Monday
2021–2022,2021,Summer,2021-05-25,Tuesday
2021–2022,2021,Summer,2021-05-26,Wednesday
2021–2022,2021,Summer,2021-05-27,Thursday
2021–2022,2021,Summer,2021-05-28,Friday
2021–2022,2021,Summer,2021-05-31,Monday
2021–2022,2021,Summer,2021-06-01,Tuesday
2021–2022,2021,Summer,2021-06-02,Wednesday
2021–2022,2021,Summer,2021-06-03,Thursday
2021–2022,2021,Summer,2021-06-04,Friday
2021–2022,2021,Summer,2021-06-07,Monday
2021–2022,2021,Summer,2021-06-08,Tuesday
2021–2022,2021,Summer,2021-06-09,Wednesday
2021–2022,2021,Summer,2021-06-10,Thursday
2021–2022,2021,Summer,2021-06-11,Friday
2021–2022,2021,Summer,2021-06-14,Monday
2021–2022,2021,Summer,2021-06-15,Tuesday
2021–2022,2021,Summer,2021-06-16,Wednesday
2021–2022,2021,Summer,2021-06-17,Thursday
