week_id,academic_year,week_of_year,week_start
2023-2024-W04,2023-2024,4,2023-09-25
2023-2024-W05,2023-2024,5,2023-10-02
2023-2024-W06,2023-2024,6,2023-10-09
2023-2024-W07,2023-2024,7,2023-10-16
2023-2024-W08,2023-2024,8,2023-10-23
2023-2024-W09,2023-2024,9,2023-10-30
2023-2024-W10,2023-2024,10,2023-11-06
2023-2024-W11,2023-2024,11,2023-11-13
2023-2024-W12,2023-2024,12,2023-11-20
2023-2024-W13,2023-2024,13,2023-11-27
2023-2024-W14,2023-2024,14,2023-12-04
2023-2024-W15,2023-2024,15,2023-12-11
2023-2024-W16,2023-2024,16,2023-12-18
2023-2024-W17,2023-2024,17,2023-12-25
2023-2024-W18,2023-2024,18,2024-01-01
2023-2024-W19,2023-2024,19,2024-01-08
2023-2024-W20,2023-2024,20,2024-01-15
2023-2024-W21,2023-2024,21,2024-01-22
2023-2024-W22,2023-2024,22,2024-01-29
2023-2024-W23,2023-2024,23,2024-02-05
2023-2024-W24,2023-2024,24,2024-02-12
2023-2024-W25,2023-2024,25,2024-02-19
2023-2024-W26,2023-2024,26,2024-02-26
2023-2024-W27,2023-2024,27,2024-03-04
2023-2024-W28,2023-2024,28,2024-03-11
2023-2024-W29,2023-2024,29,2024-03-18
2023-2024-W30,2023-2024,30,2024-03-25
2023-2024-W31,2023-2024,31,2024-04-01
2023-2024-W32,2023-2024,32,2024-04-08
2023-2024-W33,2023-2024,33,2024-04-15
2023-2024-W34,2023-2024,34,2024-04-22
2023-2024-W35,2023-2024,35,2024-04-29
2023-2024-W36,2023-2024,36,2024-05-06
2023-2024-W37,2023-2024,37,2024-05-13
2023-2024-W38,2023-2024,38,2024-05-20
2023-2024-W39,2023-2024,39,2024-05-27
2024-2025-W01,2024-2025,1,2024-09-02
2024-2025-W02,2024-2025,2,2024-09-09
2024-2025-W03,2024-2025,3,2024-09-16
2024-2025-W04,2024-2025,4,2024-09-23
2024-2025-W05,2024-2025,5,2024-09-30
2024-2025-W06,2024-2025,6,2024-10-07
2024-2025-W07,2024-2025,7,2024-10-14
2024-2025-W08,2024-2025,8,2024-10-21
2024-2025-W09,2024-2025,9,2024-10-28
2024-2025-W10,2024-2025,10,2024-11-04
2024-2025-W11,2024-2025,11,2024-11-11
2024-2025-W12,2024-2025,12,2024-11-18
2024-2025-W13,2024-2025,13,2024-11-25
2024-2025-W14,2024-2025,14,2024-12-02
2024-2025-W15,2024-2025,15,2024-12-09
2024-2025-W16,2024-2025,16,2024-12-16
2024-2025-W17,2024-2025,17,2024-12-23
2024-2025-W18,2024-2025,18,2024-12-30
2024-2025-W19,2024-2025,19,2025-01-06
2024-2025-W20,2024-2025,20,2025-01-13
2024-2025-W21,2024-2025,21,2025-01-20
2024-2025-W22,2024-2025,22,2025-01-27
2024-2025-W23,2024-2025,23,2025-02-03
2024-2025-W24,2024-2025,24,2025-02-10
2024-2025-W25,2024-2025,25,2025-02-17
2024-2025-W26,2024-2025,26,2025-02-24
2024-2025-W27,2024-2025,27,2025-03-03
2024-2025-W28,2024-2025,28,2025-03-10
2024-2025-W29,2024-2025,29,2025-03-17
2024-2025-W30,2024-2025,30,2025-03-24
2024-2025-W31,2024-2025,31,2025-03-31
2024-2025-W32,2024-2025,32,2025-04-07
2024-2025-W33,2024-2025,33,2025-04-14
2024-2025-W34,2024-2025,34,2025-04-21
2024-2025-W35,2024-2025,35,2025-04-28
2024-2025-W36,2024-2025,36,2025-05-05
2024-2025-W37,2024-2025,37,2025-05-12
2024-2025-W38,2024-2025,38,2025-05-19
2024-2025-W39,2024-2025,39,2025-05-26
